Temp;Press;Alt;AccX;AccY;AccZ;GyrX;GyrY;GyrZ;MagX;MagY;MagZ;Yaw;Pitch;Roll;GpsLat;GpsLong;GpsAlt;GpsSpeed;SIV
47,911;796,726;1,075,017;1,285;0,854;-0,354;-70,813;-593,687;41,500;-21,000;-33,063;20,500;144,937;15,062;-93,187;38397524;33703119;954;35,492;8
47,894;796,813;1,073,661;1,338;0,744;-0,401;-92,938;-565,562;32,625;2,750;-34,688;25,000;198,437;12,438;-98,938;38397535;33703112;954;35,658;8
47,894;796,931;1,072,344;1,530;0,700;-0,503;-122,375;-582,375;21,063;11,188;-36,875;17,000;255,062;6,937;-98,000;38397548;33703106;955;35,753;8
47,911;797,436;1,070,611;1,457;0,539;-0,280;-152,187;-608,812;37,688;16,500;-40,563;-7,750;310,250;5,000;-90,438;38397548;33703106;955;35,753;8
47,894;797,405;1,069,087;1,751;0,726;0,143;-120,000;-675,875;74,125;-2,563;-38,375;-26,875;359,812;12,688;-86,375;38397559;33703100;956;35,753;8
47,911;797,555;1,067,566;1,762;0,862;-0,004;-54,125;-726,250;43,875;-31,562;-31,375;-7,687;56,313;17,250;-97,438;38397570;33703094;956;35,808;8
47,911;797,673;1,066,084;1,258;0,985;0,005;-52,500;-683,750;5,875;-25,062;-27,375;27,250;131,062;4,875;-106,125;38397584;33703089;956;35,808;7
47,911;797,910;1,064,502;0,874;0,875;0,288;-35,375;-675,125;18,062;-8,188;-28,500;33,375;204,937;-8,250;-99,687;38397593;33703085;956;35,979;7
47,911;797,910;1,063,097;0,809;0,847;0,123;-0,875;-655,375;11,688;25,187;-31,063;17,875;264,125;-10,625;-87,812;38397593;33703085;956;35,979;7
47,911;798,384;1,061,314;0,280;0,893;-0,013;-11,813;-617,375;12,688;27,062;-33,688;-15,750;312,375;-3,688;-79,875;38397593;33703085;956;35,979;7
47,911;798,384;1,059,707;0,166;0,938;0,404;20,312;-553,937;65,312;0,250;-34,000;-30,500;350,750;9,063;-81,625;38397593;33703085;956;35,979;7
47,911;798,621;1,058,004;0,447;1,019;-0,019;83,375;-528,062;36,688;-26,500;-34,000;-12,250;29,062;15,000;-97,875;38397630;33703075;957;35,907;6
47,911;798,621;1,056,489;-0,201;0,868;-0,639;42,563;-465,312;4,062;-32,750;-32,563;3,188;82,938;4,000;-111,688;38397630;33703075;957;35,907;6
47,911;798,858;1,054,879;-0,175;0,872;-0,794;0,375;-403,625;43,813;-21,375;-29,250;27,562;136,375;-8,313;-111,500;38397638;33703071;957;35,738;6
47,911;798,976;1,053,316;0,408;0,746;-0,653;-45,875;-448,250;79,125;10,750;-27,500;30,562;186,750;-13,875;-99,000;38397638;33703071;957;35,738;6
47,911;799,213;1,051,658;0,626;0,786;-0,297;-48,938;-473,750;90,250;18,875;-30,000;24,062;219,313;-8,063;-86,188;38397667;33703063;0;35,784;6
47,911;799,331;1,050,046;1,011;0,877;-0,064;-19,000;-498,125;71,500;24,750;-36,250;1,375;248,937;4,437;-81,813;38397667;33703063;957;35,784;6
47,911;799,450;1,048,484;0,881;0,898;-0,193;-1,187;-517,000;11,750;13,875;-40,375;-14,188;285,875;12,000;-88,563;38397676;33703061;958;35,784;6
47,911;799,568;1,046,969;0,375;0,897;-0,028;-29,188;-478,437;-7,312;-2,688;-39,875;-21,750;330,688;9,625;-95,750;38397686;33703059;958;35,784;7
